Log - Nov-30-2020 | 0:24:15:Connected to the MongoDB database!
Log - Nov-30-2020 | 0:24:17:BCCRP Bot is ready to serve 4132 users in 3 guilds!
Log - Nov-30-2020 | 0:24:17:BCCRP Bot just loaded ping.ts
Log - Nov-30-2020 | 0:24:17:BCCRP Bot just loaded test.ts
Log - Nov-30-2020 | 0:24:17:BCCRP Bot just loaded warn.ts
Log - Nov-30-2020 | 0:24:17:BCCRP Bot just loaded message.ts
Log - Nov-30-2020 | 0:24:18:BCCRP Bot just loaded messageDelete.ts
Log - Nov-30-2020 | 0:24:18:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-30-2020 | 0:24:18:BCCRP Bot just loaded ready.ts
Log - Nov-30-2020 | 0:24:33:Connected to the MongoDB database!
Log - Nov-30-2020 | 0:24:35:BCCRP Bot is ready to serve 4132 users in 3 guilds!
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded ping.ts
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded test.ts
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded warn.ts
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded message.ts
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded messageDelete.ts
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-30-2020 | 0:24:35:BCCRP Bot just loaded ready.ts
Log - Nov-30-2020 | 0:26:46:Connected to the MongoDB database!
Log - Nov-30-2020 | 0:26:47:BCCRP Bot is ready to serve 4132 users in 3 guilds!
Log - Nov-30-2020 | 0:26:47:BCCRP Bot just loaded ping.ts
Log - Nov-30-2020 | 0:26:47:BCCRP Bot just loaded test.ts
Log - Nov-30-2020 | 0:26:48:BCCRP Bot just loaded warn.ts
Log - Nov-30-2020 | 0:26:48:BCCRP Bot just loaded message.ts
Log - Nov-30-2020 | 0:26:48:BCCRP Bot just loaded messageDelete.ts
Log - Nov-30-2020 | 0:26:48:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-30-2020 | 0:26:48:BCCRP Bot just loaded ready.ts
Log - Nov-30-2020 | 0:27:3:Connected to the MongoDB database!
Log - Nov-30-2020 | 0:27:4:BCCRP Bot is ready to serve 4132 users in 3 guilds!
Log - Nov-30-2020 | 0:27:4:BCCRP Bot just loaded ping.ts
Log - Nov-30-2020 | 0:27:4:BCCRP Bot just loaded test.ts
Log - Nov-30-2020 | 0:27:5:BCCRP Bot just loaded warn.ts
Log - Nov-30-2020 | 0:27:5:BCCRP Bot just loaded message.ts
Log - Nov-30-2020 | 0:27:5:BCCRP Bot just loaded messageDelete.ts
Log - Nov-30-2020 | 0:27:5:BCCRP Bot just loaded messageUpdate.ts
