Log - Nov-18-2020 | 8:54:38:BCCRP Bot is ready to serve 2479 users in 3 guilds!
Log - Nov-18-2020 | 8:54:39:BCCRP Bot just loaded ping.ts
Log - Nov-18-2020 | 8:54:39:BCCRP Bot just loaded test.ts
Log - Nov-18-2020 | 8:54:40:BCCRP Bot just loaded warn.ts
Log - Nov-18-2020 | 8:54:40:BCCRP Bot just loaded message.ts
Log - Nov-18-2020 | 8:54:40:BCCRP Bot just loaded messageDelete.ts
Log - Nov-18-2020 | 8:54:40:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-18-2020 | 8:54:41:BCCRP Bot just loaded ready.ts
Log - Nov-18-2020 | 8:55:6:Connected to the MongoDB database!
Log - Nov-18-2020 | 8:55:53:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-18-2020 | 11:19:19:BCCRP Bot is ready to serve 2521 users in 3 guilds!
Log - Nov-18-2020 | 11:19:20:BCCRP Bot just loaded ping.ts
Log - Nov-18-2020 | 11:19:20:BCCRP Bot just loaded test.ts
Log - Nov-18-2020 | 11:19:21:BCCRP Bot just loaded warn.ts
Log - Nov-18-2020 | 11:19:21:BCCRP Bot just loaded message.ts
Log - Nov-18-2020 | 11:19:22:BCCRP Bot just loaded messageDelete.ts
Log - Nov-18-2020 | 11:19:22:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-18-2020 | 11:19:22:BCCRP Bot just loaded ready.ts
Log - Nov-18-2020 | 11:19:46:Connected to the MongoDB database!
Log - Nov-18-2020 | 11:20:46:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-18-2020 | 11:21:33:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-18-2020 | 11:25:49:BCCRP Bot is ready to serve 2523 users in 3 guilds!
Log - Nov-18-2020 | 11:25:50:BCCRP Bot just loaded ping.ts
Log - Nov-18-2020 | 11:25:50:BCCRP Bot just loaded test.ts
Log - Nov-18-2020 | 11:25:50:BCCRP Bot just loaded warn.ts
