Log - Nov-24-2020 | 19:36:53:Connected to the MongoDB database!
Log - Nov-24-2020 | 19:37:4:Connected to the MongoDB database!
Log - Nov-24-2020 | 19:37:6:BCCRP Bot is ready to serve 3011 users in 3 guilds!
Log - Nov-24-2020 | 19:37:6:BCCRP Bot just loaded ping.ts
Log - Nov-24-2020 | 19:37:6:BCCRP Bot just loaded test.ts
Log - Nov-24-2020 | 19:37:6:BCCRP Bot just loaded warn.ts
Log - Nov-24-2020 | 19:37:6:BCCRP Bot just loaded message.ts
Log - Nov-24-2020 | 19:37:6:BCCRP Bot just loaded messageDelete.ts
Log - Nov-24-2020 | 19:37:6:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-24-2020 | 19:37:7:BCCRP Bot just loaded ready.ts
Log - Nov-24-2020 | 19:37:30:Connected to the MongoDB database!
Log - Nov-24-2020 | 19:37:32:BCCRP Bot is ready to serve 3011 users in 3 guilds!
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded ping.ts
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded test.ts
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded warn.ts
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded message.ts
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded messageDelete.ts
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-24-2020 | 19:37:32:BCCRP Bot just loaded ready.ts
