Log - Nov-13-2020 | 16:21:2:BCCRP Bot is ready to serve 2394 users in 3 guilds!
Log - Nov-13-2020 | 16:21:2:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:21:2:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:21:3:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:21:3:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:21:3:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:21:3:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:24:29:BCCRP Bot is ready to serve 2393 users in 3 guilds!
Log - Nov-13-2020 | 16:24:29:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:24:29:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:24:30:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:24:30:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:24:30:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:24:30:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:25:4:BCCRP Bot is ready to serve 2393 users in 3 guilds!
Log - Nov-13-2020 | 16:25:4:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:25:4:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:25:4:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:25:5:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:25:5:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:25:5:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:25:16:BCCRP Bot is ready to serve 2393 users in 3 guilds!
Log - Nov-13-2020 | 16:25:16:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:25:16:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:25:17:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:25:17:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:25:17:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:25:17:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:25:30:BCCRP Bot is ready to serve 2394 users in 3 guilds!
Log - Nov-13-2020 | 16:25:30:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:25:30:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:25:30:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:25:30:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:25:30:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:25:30:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:25:42:BCCRP Bot is ready to serve 2393 users in 3 guilds!
Log - Nov-13-2020 | 16:25:42:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:25:43:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:25:43:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:25:43:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:25:43:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:25:43:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:26:7:BCCRP Bot is ready to serve 2393 users in 3 guilds!
Log - Nov-13-2020 | 16:26:7:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:26:7:BCCRP Bot just loaded warn.ts
Log - Nov-13-2020 | 16:26:8:BCCRP Bot just loaded message.ts
Log - Nov-13-2020 | 16:26:8:BCCRP Bot just loaded messageDelete.ts
Log - Nov-13-2020 | 16:26:8:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-13-2020 | 16:26:8:BCCRP Bot just loaded ready.ts
Log - Nov-13-2020 | 16:26:22:BCCRP Bot is ready to serve 2394 users in 3 guilds!
Log - Nov-13-2020 | 16:26:22:BCCRP Bot just loaded ping.ts
Log - Nov-13-2020 | 16:26:23:BCCRP Bot just loaded warn.ts
