Log - Nov-20-2020 | 15:11:29:Connected to the MongoDB database!
Log - Nov-20-2020 | 15:16:34:Connected to the MongoDB database!
Log - Nov-20-2020 | 15:16:36:BCCRP Bot is ready to serve 2720 users in 3 guilds!
Log - Nov-20-2020 | 15:16:36:BCCRP Bot just loaded ping.ts
Log - Nov-20-2020 | 15:16:36:BCCRP Bot just loaded test.ts
Log - Nov-20-2020 | 15:16:36:BCCRP Bot just loaded warn.ts
Log - Nov-20-2020 | 15:16:36:BCCRP Bot just loaded message.ts
Log - Nov-20-2020 | 15:16:37:BCCRP Bot just loaded messageDelete.ts
Log - Nov-20-2020 | 15:16:37:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-20-2020 | 15:16:37:BCCRP Bot just loaded ready.ts
Log - Nov-20-2020 | 15:32:43:Connected to the MongoDB database!
Log - Nov-20-2020 | 15:32:44:BCCRP Bot is ready to serve 2720 users in 3 guilds!
Log - Nov-20-2020 | 15:32:44:BCCRP Bot just loaded ping.ts
Log - Nov-20-2020 | 15:32:44:BCCRP Bot just loaded test.ts
Log - Nov-20-2020 | 15:32:44:BCCRP Bot just loaded warn.ts
Log - Nov-20-2020 | 15:32:44:BCCRP Bot just loaded message.ts
Log - Nov-20-2020 | 15:32:45:BCCRP Bot just loaded messageDelete.ts
Log - Nov-20-2020 | 15:32:45:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-20-2020 | 15:32:45:BCCRP Bot just loaded ready.ts
Log - Nov-20-2020 | 15:33:6:Connected to the MongoDB database!
Log - Nov-20-2020 | 15:33:8:BCCRP Bot is ready to serve 2718 users in 3 guilds!
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded ping.ts
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded test.ts
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded warn.ts
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded message.ts
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded messageDelete.ts
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-20-2020 | 15:33:8:BCCRP Bot just loaded ready.ts
Log - Nov-20-2020 | 15:33:17:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-20-2020 | 15:33:17:Database fetch for players took 7ms
Log - Nov-20-2020 | 15:33:17:Database insert for players took 13ms
Log - Nov-20-2020 | 15:33:51:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-20-2020 | 15:33:51:Database fetch for players took 1ms
Log - Nov-20-2020 | 15:33:51:Database insert for players took 3ms
Log - Nov-20-2020 | 15:34:4:Connected to the MongoDB database!
Log - Nov-20-2020 | 15:34:6:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-20-2020 | 15:34:6:Database fetch for players took 3ms
Log - Nov-20-2020 | 15:34:6:Database insert for players took 11ms
Log - Nov-20-2020 | 15:34:6:BCCRP Bot is ready to serve 2718 users in 3 guilds!
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded ping.ts
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded test.ts
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded warn.ts
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded message.ts
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded messageDelete.ts
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-20-2020 | 15:34:6:BCCRP Bot just loaded ready.ts
