Log - Nov-17-2020 | 23:17:26:BCCRP Bot just loaded ping.ts
Log - Nov-17-2020 | 23:17:26:BCCRP Bot just loaded test.ts
Log - Nov-17-2020 | 23:17:26:BCCRP Bot just loaded warn.ts
Log - Nov-17-2020 | 23:17:26:BCCRP Bot just loaded message.ts
Log - Nov-17-2020 | 23:17:26:BCCRP Bot just loaded messageDelete.ts
Log - Nov-17-2020 | 23:17:27:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-17-2020 | 23:17:27:BCCRP Bot just loaded ready.ts
Log - Nov-17-2020 | 23:17:27:Socket.io connection received from `::ffff:127.0.0.1`
Log - Nov-17-2020 | 23:17:27:Database fetch for players took 4ms
Log - Nov-17-2020 | 23:17:27:Database insert for players took 13ms
Log - Nov-17-2020 | 23:17:36:Connected to the MongoDB database!
Log - Nov-17-2020 | 23:17:37:BCCRP Bot is ready to serve 2477 users in 3 guilds!
Log - Nov-17-2020 | 23:17:37:BCCRP Bot just loaded ping.ts
Log - Nov-17-2020 | 23:17:37:BCCRP Bot just loaded test.ts
Log - Nov-17-2020 | 23:17:37:BCCRP Bot just loaded warn.ts
Log - Nov-17-2020 | 23:17:37:BCCRP Bot just loaded message.ts
Log - Nov-17-2020 | 23:17:37:BCCRP Bot just loaded messageDelete.ts
Log - Nov-17-2020 | 23:17:38:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-17-2020 | 23:17:38:BCCRP Bot just loaded ready.ts
Log - Nov-17-2020 | 23:17:39:Socket.io connection received from ::ffff:127.0.0.1
Log - Nov-17-2020 | 23:17:39:Database fetch for players took 4ms
Log - Nov-17-2020 | 23:17:39:Database insert for players took 11ms
Log - Nov-17-2020 | 23:46:9:Connected to the MongoDB database!
Log - Nov-17-2020 | 23:46:10:BCCRP Bot is ready to serve 2462 users in 3 guilds!
Log - Nov-17-2020 | 23:46:10:BCCRP Bot just loaded ping.ts
Log - Nov-17-2020 | 23:46:10:BCCRP Bot just loaded test.ts
Log - Nov-17-2020 | 23:46:11:BCCRP Bot just loaded warn.ts
Log - Nov-17-2020 | 23:46:11:BCCRP Bot just loaded message.ts
Log - Nov-17-2020 | 23:46:11:BCCRP Bot just loaded messageDelete.ts
Log - Nov-17-2020 | 23:46:11:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-17-2020 | 23:46:11:BCCRP Bot just loaded ready.ts
