Log - Nov-15-2020 | 0:10:13:BCCRP Bot is ready to serve 2378 users in 3 guilds!
Log - Nov-15-2020 | 0:10:13:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:10:14:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:10:14:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:10:14:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:10:14:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:10:14:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:10:14:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:11:1:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:11:3:BCCRP Bot is ready to serve 2377 users in 3 guilds!
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:11:3:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:11:50:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:11:52:BCCRP Bot is ready to serve 2377 users in 3 guilds!
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:11:52:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:12:35:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:12:36:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:12:36:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:12:36:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:12:36:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:12:36:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:12:37:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:12:37:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:12:37:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:12:52:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:12:53:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:12:53:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:12:53:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:12:53:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:12:53:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:12:53:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:12:53:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:12:54:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:13:1:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:13:3:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:13:3:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:15:3:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:15:4:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:15:4:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:15:4:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:15:5:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:15:5:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:15:5:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:15:5:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:15:5:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:16:0:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:16:2:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:16:2:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:18:50:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:18:51:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:18:52:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:19:37:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:19:39:BCCRP Bot is ready to serve 2377 users in 3 guilds!
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:19:39:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:19:52:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:19:54:BCCRP Bot is ready to serve 2377 users in 3 guilds!
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:19:54:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:24:56:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:24:58:BCCRP Bot is ready to serve 2376 users in 3 guilds!
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:24:58:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:26:22:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:26:24:BCCRP Bot is ready to serve 2375 users in 3 guilds!
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:26:24:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:27:26:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:27:27:BCCRP Bot is ready to serve 2375 users in 3 guilds!
Log - Nov-15-2020 | 0:27:27:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:27:27:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:27:28:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:27:28:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:27:28:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:27:28:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:27:28:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:27:42:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:27:44:BCCRP Bot is ready to serve 2375 users in 3 guilds!
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:27:44:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:27:57:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:27:58:BCCRP Bot is ready to serve 2375 users in 3 guilds!
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:27:58:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:28:25:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:28:27:BCCRP Bot is ready to serve 2374 users in 3 guilds!
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:28:27:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:28:56:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:28:58:BCCRP Bot is ready to serve 2373 users in 3 guilds!
Log - Nov-15-2020 | 0:28:58:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:28:59:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:28:59:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:28:59:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:28:59:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:28:59:BCCRP Bot just loaded messageUpdate.ts
