Log - Nov-14-2020 | 12:38:56:BCCRP Bot is ready to serve 2416 users in 3 guilds!
Log - Nov-14-2020 | 12:38:56:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:38:57:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:38:57:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:38:57:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:38:57:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:38:57:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:41:39:BCCRP Bot is ready to serve 2415 users in 3 guilds!
Log - Nov-14-2020 | 12:41:39:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:41:39:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:41:39:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:41:40:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:41:40:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:41:40:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:42:29:BCCRP Bot is ready to serve 2411 users in 3 guilds!
Log - Nov-14-2020 | 12:42:30:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:42:30:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:42:30:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:42:30:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:42:30:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:42:30:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:42:57:BCCRP Bot is ready to serve 2410 users in 3 guilds!
Log - Nov-14-2020 | 12:42:57:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:43:8:BCCRP Bot is ready to serve 2410 users in 3 guilds!
Log - Nov-14-2020 | 12:43:8:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:43:8:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:43:8:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:43:8:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:43:8:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:43:9:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:43:52:BCCRP Bot is ready to serve 2410 users in 3 guilds!
Log - Nov-14-2020 | 12:43:52:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:43:53:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:43:53:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:43:53:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:43:53:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:43:53:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:46:54:BCCRP Bot is ready to serve 2409 users in 3 guilds!
Log - Nov-14-2020 | 12:46:54:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:46:54:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:46:54:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:46:54:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:46:54:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:46:54:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:50:19:BCCRP Bot is ready to serve 2406 users in 3 guilds!
Log - Nov-14-2020 | 12:50:19:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:50:20:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:50:20:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:50:20:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:50:20:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:50:20:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:53:42:BCCRP Bot is ready to serve 2407 users in 3 guilds!
Log - Nov-14-2020 | 12:53:42:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:53:42:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:53:42:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:53:42:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:53:42:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:53:42:BCCRP Bot just loaded ready.ts
Log - Nov-14-2020 | 12:54:38:BCCRP Bot is ready to serve 2411 users in 3 guilds!
Log - Nov-14-2020 | 12:54:38:BCCRP Bot just loaded ping.ts
Log - Nov-14-2020 | 12:54:38:BCCRP Bot just loaded warn.ts
Log - Nov-14-2020 | 12:54:38:BCCRP Bot just loaded message.ts
Log - Nov-14-2020 | 12:54:38:BCCRP Bot just loaded messageDelete.ts
Log - Nov-14-2020 | 12:54:39:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-14-2020 | 12:54:39:BCCRP Bot just loaded ready.ts
